date,areaType,areaCode,areaName,newCasesByPublishDate,newDeathsByDeathDate
"2020-07-28",utla,E08000037,Gateshead,0,0
"2020-07-27",utla,E08000037,Gateshead,0,1
"2020-04-14",utla,E06000054,Wiltshire,0,4
"2020-07-26",utla,E08000037,Gateshead,1,1
"2020-04-13",utla,E06000054,Wiltshire,0,3
"2020-07-25",utla,E08000037,Gateshead,0,0
"2020-04-12",utla,E06000054,Wiltshire,0,3
"2020-07-24",utla,E08000037,Gateshead,1,0
"2020-04-11",utla,E06000054,Wiltshire,0,2
"2020-04-10",utla,E06000054,Wiltshire,0,9
"2020-04-09",utla,E06000054,Wiltshire,0,4
"2020-09-05",utla,E06000007,Warrington,9,0
"2020-11-26",utla,E06000052,Cornwall and Isles of Scilly,32,0
"2020-07-15",utla,E06000041,Wokingham,0,1
"2020-04-14",utla,E08000001,Bolton,0,9
"2020-11-14",utla,E06000040,Windsor and Maidenhead,43,1
"2020-04-13",utla,E08000001,Bolton,0,9
"2020-03-23",utla,E06000011,East Riding of Yorkshire,0,0
"2020-07-14",utla,E06000041,Wokingham,0,1
"2020-11-13",utla,E06000040,Windsor and Maidenhead,60,0
"2020-07-23",utla,E08000037,Gateshead,0,0
"2020-12-28",utla,E09000031,Waltham Forest,449,
"2020-11-12",utla,E06000040,Windsor and Maidenhead,66,0
"2020-07-13",utla,E06000041,Wokingham,3,0
"2020-01-15",utla,E06000034,Thurrock,0,
"2020-03-22",utla,E06000011,East Riding of Yorkshire,0,0
"2020-07-12",utla,E06000041,Wokingham,3,0
